Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial	TrialOnset	TrialOffset	Ladder	CueOnset	RT	KeyPressed	onsetPlanned	onset	duration
BM_112	5	0.8288055	2024.jpg	46	0	0	0	2	20	100	150.502168292063	151.953898629989	0.85	NaN	NaN	x	150.5	150.502168292063	1.45173033792526
BM_112	22	0.6592095	1035.jpg	9	2	0	0	2	21	101	152.003899104078	153.455575714004	0.85	NaN	NaN	x	152	152.003899104078	1.45167660992593
BM_112	46	0.4302949	2229.jpg	77	5	1	1	2	22	102	153.505608303007	154.957170505077	0.85	850.978760048747	1095.76671104878	b	153.5	153.505608303007	1.45156220206991
BM_112	8	0.7956376	2240.jpg	78	0	0	0	2	23	103	155.007283856045	156.458904304076	0.85	NaN	NaN	x	155	155.007283856045	1.45162044803146
BM_112	39	0.4764439	1207.jpg	31	4	0	0	2	24	104	156.508987434092	157.960541534005	0.85	NaN	NaN	x	156.5	156.508987434092	1.45155409991276
BM_112	76	0.2002121	2041.jpg	48	0	0	0	2	25	105	157.99393000803	159.445605649031	0.85	NaN	NaN	x	158	157.99393000803	1.4516756410012
BM_112	11	0.7814859	1028.jpg	7	1	0.5	0	2	26	106	159.495611943072	160.947263214039	0.85	NaN	NaN	x	159.5	159.495611943072	1.45165127096698
BM_112	4	0.8392456	1228.jpg	36	0	0	0	2	27	107	160.997286495054	162.448937674984	0.85	NaN	NaN	x	161	160.997286495054	1.4516511799302
BM_112	19	0.6995326	2124.jpg	61	2	0	0	2	28	108	162.499006508035	163.950616738992	0.85	NaN	NaN	x	162.5	162.499006508035	1.45161023095716
BM_112	66	0.3086106	2058.jpg	53	8	1	1	2	29	109	164.000661606085	165.452295982046	0.85	851.00943595171	1200.7572069997	b	164	164.000661606085	1.45163437596057
BM_112	74	0.2211897	1052.jpg	11	0	0	0	2	30	110	165.502399014076	166.954004330095	0.85	NaN	NaN	x	165.5	165.502399014076	1.45160531601869
BM_112	71	0.2691803	2128.jpg	63	8	1	1	2	31	111	167.004044283996	168.455711160088	0.85	850.971698993817	1125.32862601802	b	167	167.004044283996	1.45166687609162
BM_112	65	0.3141694	1115.jpg	17	8	0	0	2	32	112	168.505717711058	169.957416946068	0.85	NaN	NaN	x	168.5	168.505717711058	1.45169923501089
BM_112	80	0.0814061	1080.jpg	15	0	0	0	2	33	113	170.007435376989	171.459104673006	0.85	NaN	NaN	x	170	170.007435376989	1.45166929601692
BM_112	56	0.3556008	2155.jpg	67	6	0.5	0	2	34	114	171.509161758004	172.960810117074	0.85	NaN	NaN	x	171.5	171.509161758004	1.45164835907053
BM_112	9	0.7920635	2212.jpg	73	1	0	0	2	35	115	172.994119507028	174.445710849017	0.85	NaN	NaN	x	173	172.994119507028	1.45159134198911
BM_112	10	0.7820717	1031.jpg	8	1	0.5	0	2	36	116	174.495887933066	175.947250173078	0.85	NaN	NaN	x	174.5	174.495887933066	1.4513622400118
BM_112	78	0.1876431	2045.jpg	50	0	0	0	2	37	117	175.997522644	177.449194810004	0.85	NaN	NaN	x	176	175.997522644	1.45167216600385
BM_112	73	0.2247427	1204.jpg	30	0	0	0	2	38	118	177.499216234079	178.950833047042	0.85	NaN	NaN	x	177.5	177.499216234079	1.45161681296304
BM_112	18	0.7228613	2016.jpg	45	2	0	0	2	39	119	179.000845036004	180.45247898309	0.85	NaN	NaN	x	179	179.000845036004	1.45163394708652
BM_112	42	0.4545591	1060.jpg	13	5	1	1	2	40	120	180.502515238011	181.954210796044	0.85	851.028099074028	1218.85558904614	b	180.5	180.502515238011	1.45169555803295
BM_112	54	0.3627308	1017.jpg	4	6	0	0	2	41	121	182.004258867004	183.455832050997	0.85	NaN	NaN	x	182	182.004258867004	1.45157318399288
BM_112	69	0.2849454	2094.jpg	56	8	0	0	2	42	122	183.505872950074	184.957573877997	0.85	NaN	NaN	x	183.5	183.505872950074	1.4517009279225
BM_112	1	0.8953083	2063.jpg	54	0	0	0	2	43	123	185.007607924053	186.459218655014	0.85	NaN	NaN	x	185	185.007607924053	1.45161073096097
BM_112	43	0.440429	1050.jpg	10	5	1	1	2	44	124	186.509297929006	187.960901129059	0.85	851.002001087181	1164.07025803346	b	186.5	186.509297929006	1.4516032000538
BM_112	3	0.8444915	2010.jpg	43	0	0	0	2	45	125	187.994291807991	189.445877677994	0.85	NaN	NaN	x	188	187.994291807991	1.45158587000333
BM_112	33	0.5455787	2153.jpg	65	4	0.5	0	2	46	126	189.496054204996	190.947652711999	0.85	NaN	NaN	x	189.5	189.496054204996	1.45159850700293
BM_112	50	0.3842407	2089.jpg	55	6	0.5	0	2	47	127	190.997617269051	192.449345608009	0.85	NaN	NaN	x	191	190.997617269051	1.45172833895776
BM_112	64	0.3216092	1255.jpg	39	7	0	0	2	48	128	192.499409895041	193.950966923032	0.85	NaN	NaN	x	192.5	192.499409895041	1.45155702799093
BM_112	36	0.5136473	1013.jpg	3	4	0.5	0	2	49	129	194.001004216028	195.452659867005	0.85	NaN	NaN	x	194	194.001004216028	1.45165565097705
