subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	
BMI_bs_101	1	6	 BambaSweet.bmp	1.11E+03	24	999000	240	999000	999	1.11E+03	716.67	700	59	49	0.03	 
BMI_bs_101	1	6	 Hit.bmp	1.11E+03	24	999000	240	999000	999	1.11E+03	716.67	700	48	44	0.66	 
BMI_bs_101	1	6	 Cheetos.bmp	1.12E+03	24	999000	240	999000	999	1.12E+03	716.67	700	51	29	0.59	 
BMI_bs_101	1	6	 KinderBuenoWhite2.bmp	1.12E+03	12	999000	120	999000	999	1.12E+03	716.67	700	17	1	1.76	 
BMI_bs_101	1	6	 Snickers.bmp	1.12E+03	11	9.75E+02	110	7.17E+02	98	1.12E+03	733.33	700	18	15	1.75	 
BMI_bs_101	1	6	 TapuchipsCrunch.bmp	1.13E+03	12	999000	120	999000	999	1.13E+03	733.33	700	27	45	1.3	 
BMI_bs_101	1	6	 DoritosSourSpicy.bmp	1.13E+03	24	999000	240	999000	999	1.13E+03	733.33	700	33	27	1.09	 
BMI_bs_101	1	6	 Keifli.bmp	1.14E+03	24	999000	240	999000	999	1.14E+03	733.33	700	58	26	0.04	 
BMI_bs_101	1	6	 CrunchBisquitBrown3.bmp	1.14E+03	11	9.72E+02	110	7.33E+02	98	1.14E+03	750	700	5	48	2.77	 
BMI_bs_101	1	6	 CrunchBisquitWhite2.bmp	1.14E+03	12	999000	120	999000	999	1.14E+03	750	700	26	11	1.44	 
BMI_bs_101	1	6	 Shugi.bmp	1.14E+03	22	9.23E+02	220	7.00E+02	98	1.15E+03	750	716.67	56	36	0.2	 
BMI_bs_101	1	6	 Halva2.bmp	1.15E+03	22	1.00E+03	2200	7.17E+02	98	1.15E+03	750	666.67	42	59	0.83	 
BMI_bs_101	1	6	 ClickXLbrown4.bmp	1.15E+03	12	999000	120	999000	999	1.15E+03	750	666.67	4	47	2.87	 
BMI_bs_101	1	6	 Loacker.bmp	1.16E+03	12	999000	120	999000	999	1.16E+03	750	666.67	3	30	2.91	 
BMI_bs_101	1	6	 Tortit.bmp	1.16E+03	22	8.40E+02	220	6.67E+02	98	1.16E+03	750	683.33	44	50	0.82	 
BMI_bs_101	1	6	 SkittlesSour4.bmp	1.16E+03	24	999000	240	999000	999	1.16E+03	750	683.33	46	24	0.74	 
BMI_bs_101	1	6	 CrunchShokoVanil.bmp	1.17E+03	12	999000	120	999000	999	1.17E+03	750	683.33	28	8	1.28	 
