subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	FixationTime	Contingency	PlannedOnset	onset	duration
BM_141	0	1	1	1	18	79.105725226982	1028.jpg	2089.jpg	15	13	1	u	1	1	723.767606017645	0.7635191	0.7695678	79.8411949369765	1	79.1	79.105725226982	0.735469709994504
BM_141	0	1	1	1	19	83.9112902829947	1210.jpg	1226.jpg	65	70	1	i	8	0	918.201747990679	0.2820596	0.2450206	84.8455225779908	1	83.9	83.9112902829947	0.934232294996036
BM_141	0	1	1	1	20	86.8979494899977	2041.jpg	2054.jpg	26	28	1	u	3	1	683.540168975014	0.6369841	0.6220144	87.5984531799913	0.5	86.9	86.8979494899977	0.700503689993639
BM_141	0	1	1	1	21	92.1037001809746	2041.jpg	1182.jpg	26	30	1	u	3	1	653.794220997952	0.6369841	0.5866356	92.7711812149792	0.5	92.1	92.1037001809746	0.667481034004595
BM_141	0	1	1	1	22	96.0080531369895	2209.jpg	1050.jpg	25	27	0	u	3	0	765.447223995579	0.6528527	0.6246722	96.7922303809901	0.5	96	96.0080531369895	0.784177244000603
BM_141	0	1	1	1	23	99.0956990059931	2221.jpg	1060.jpg	50	53	0	i	6	1	789.799272984965	0.3867555	0.3590905	99.89742092698	0.5	99.1	99.0956990059931	0.801721920986893
BM_141	0	1	1	1	24	102.098594141979	1130.jpg	1191.jpg	54	49	0	u	6	0	834.899605019018	0.3540342	0.3890935	102.949179270974	0.5	102.1	102.098594141979	0.85058512899559
BM_141	0	1	1	1	25	105.101716954989	1183.jpg	1144.jpg	67	72	0	i	8	1	871.776974992827	0.263429	0.1907257	105.986070566985	1	105.1	105.101716954989	0.88435361199663
BM_141	0	1	1	1	26	109.807217537978	2194.jpg	2240.jpg	64	58	1	i	7	0	1246.27126302221	0.2844861	0.3402947	111.075066670979	0.5	109.8	109.807217537978	1.26784913300071
BM_141	0	1	1	1	27	113.311543443997	1182.jpg	1050.jpg	30	27	0	u	3	0	653.941242984729	0.5866356	0.6246722	113.977839405998	0.5	113.3	113.311543443997	0.666295962000731
BM_141	0	1	1	1	28	120.202396920999	2045.jpg	1031.jpg	40	38	1	i	4	0	763.097267976264	0.4990589	0.5202971	120.986549076973	1	120.2	120.202396920999	0.78415215597488
BM_141	0	1	1	1	29	123.205257887981	1080.jpg	2015.jpg	10	9	1	i	1	0	816.236806014786	0.7872707	0.8099306	124.039758731	1	123.2	123.205257887981	0.834500843018759
BM_141	0	1	1	1	30	128.211527836975	1150.jpg	1144.jpg	71	72	0	i	8	1	753.966527001467	0.2262125	0.1907257	128.978621443996	1	128.2	128.211527836975	0.767093607020797
BM_141	0	1	1	1	31	131.598828152986	2194.jpg	2110.jpg	64	59	1	i	7	0	1070.68001601147	0.2844861	0.3349046	132.682323023997	0.5	131.6	131.598828152986	1.08349487101077
BM_141	0	1	1	1	32	137.104246989999	1182.jpg	2112.jpg	30	29	0	i	3	1	1333.25026198872	0.5866356	0.6194485	138.455803184974	0.5	137.1	137.104246989999	1.35155619497527
BM_141	0	1	1	1	33	144.696525369975	2164.jpg	2217.jpg	46	48	1	i	5	0	868.968365015462	0.4436071	0.3899227	145.580024545983	1	144.7	144.696525369975	0.883499176008627
BM_141	0	1	1	1	34	148.600802075001	2212.jpg	2094.jpg	20	22	1	u	2	1	1004.6850249928	0.6991636	0.6865404	149.617978124996	0.5	148.6	148.600802075001	1.0171760499943
BM_141	0	1	1	1	35	153.306439410982	1216.jpg	1050.jpg	31	27	0	i	3	1	1363.04484901484	0.5819943	0.6246722	154.69107916698	0.5	153.3	153.306439410982	1.38463975599734
BM_141	0	1	1	1	36	157.010461857979	2094.jpg	2006.jpg	22	21	0	u	2	0	1283.02084299503	0.6865404	0.698629	158.311632076977	0.5	157	157.010461857979	1.30117021899787
BM_141	0	1	1	1	37	160.497955264989	1130.jpg	1017.jpg	54	52	0	u	6	0	1107.53795100027	0.3540342	0.3653409	161.617745185999	0.5	160.5	160.497955264989	1.11978992100921
BM_141	0	1	1	1	38	163.700695012987	1114.jpg	2194.jpg	63	64	0	u	7	0	952.801779989386	0.2940255	0.2844861	164.66799632	0.5	163.7	163.700695012987	0.967301307013258
BM_141	0	1	1	1	39	173.295549042989	1146.jpg	2217.jpg	47	48	1	x	5	999	999000	0.418096	0.3899227	174.813251894986	1	173.3	173.295549042989	1.51770285199746
BM_141	0	1	1	1	40	176.999687870994	1183.jpg	1210.jpg	67	65	0	u	8	0	845.805791992461	0.263429	0.2820596	177.866432486975	1	177	176.999687870994	0.866744615981588
BM_141	0	1	1	1	41	180.503944689	1146.jpg	2155.jpg	47	45	1	u	5	1	837.548202980543	0.418096	0.4553872	181.353635331994	1	180.5	180.503944689	0.849690642993664
BM_141	0	1	1	1	42	189.496810767974	1031.jpg	2043.jpg	38	37	0	u	4	0	820.672358007869	0.5202971	0.5236885	190.330975462974	1	189.5	189.496810767974	0.834164694999345
