subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight 
BM2_336 0 2 2 86 4.275333e+02 AnimalCrackers.bmp Hersheymilk_several.bmp 48 53 1 u 2 0 956.45 48.00 53.00 
BM2_336 0 2 2 87 4.315333e+02 Slimjim.bmp KitKat_small.bmp 42 23 0 i 4 0 856.75 42.00 23.00 
BM2_336 0 2 2 88 4.365333e+02 Fritos.bmp Hersheykisses.bmp 46 51 0 i 2 0 999.27 46.00 51.00 
BM2_336 0 2 2 89 4.495333e+02 FrootLoops.bmp Fritos.bmp 52 46 1 i 2 1 942.01 52.00 46.00 
BM2_336 0 2 2 90 4.525333e+02 PayDay.bmp Doritosranch.bmp 20 45 1 u 4 0 1039.07 20.00 45.00 
BM2_336 0 2 2 91 4.555333e+02 Doritosranch.bmp KitKat_small.bmp 45 23 0 i 4 0 735.10 45.00 23.00 
BM2_336 0 2 2 92 4.615333e+02 Laysclassic.bmp KitKat_small.bmp 41 23 0 i 4 0 745.70 41.00 23.00 
BM2_336 0 2 2 93 4.655333e+02 Cheezits.bmp Hersheykisses.bmp 50 51 0 i 2 0 917.50 50.00 51.00 
BM2_336 0 2 2 94 4.695333e+02 Cheezits.bmp Funyuns_small.bmp 50 47 0 u 2 1 759.54 50.00 47.00 
BM2_336 0 2 2 95 4.725333e+02 AnimalCrackers.bmp Cheezits.bmp 48 50 1 u 2 0 1021.90 48.00 50.00 
BM2_336 0 2 2 96 4.785333e+02 PopTartsCinnamon.bmp Nutterbutter.bmp 21 40 1 u 3 0 1136.16 21.00 40.00 
BM2_336 0 2 2 97 4.825333e+02 Streusel.bmp KitKat_small.bmp 38 23 0 i 4 0 735.24 38.00 23.00 
BM2_336 0 2 2 98 4.885333e+02 Butterfinger.bmp PeanutMMs.bmp 10 12 1 u 1 0 861.37 10.00 12.00 
BM2_336 0 2 2 99 4.935333e+02 Milano.bmp PeanutMMs.bmp 9 12 1 i 1 1 960.66 9.00 12.00 
BM2_336 0 2 2 100 5.035333e+02 CheesyDoritos.bmp 100grand_small.bmp 43 17 0 i 3 0 933.88 43.00 17.00 
BM2_336 0 2 2 101 5.135333e+02 Sourpatch.bmp Chocolate_mm.bmp 13 15 1 i 1 1 1399.52 13.00 15.00 
BM2_336 0 2 2 102 5.215333e+02 FrootLoops.bmp Cheezits.bmp 52 50 1 i 2 1 915.07 52.00 50.00 
BM2_336 0 2 2 103 5.255333e+02 Laysclassic.bmp PayDay.bmp 41 20 0 i 4 0 903.50 41.00 20.00 
BM2_336 0 2 2 104 5.285333e+02 Hersheymilk_several.bmp FrootLoops.bmp 53 52 0 u 2 1 967.18 53.00 52.00 
BM2_336 0 2 2 105 5.315333e+02 AnimalCrackers.bmp Fritos.bmp 48 46 1 u 2 0 887.20 48.00 46.00 
BM2_336 0 2 2 106 5.345333e+02 Nutterbutter.bmp 3Musketeers.bmp 40 18 0 i 3 0 717.79 40.00 18.00 
BM2_336 0 2 2 107 5.425333e+02 CheesyDoritos.bmp 3Musketeers.bmp 43 18 0 i 3 0 1061.78 43.00 18.00 
BM2_336 0 2 2 108 5.455333e+02 Jollyrancherred.bmp FrootLoops.bmp 49 52 0 u 2 1 895.42 49.00 52.00 
BM2_336 0 2 2 109 5.535333e+02 Keeblerfudgestripes.bmp Chocolate_mm.bmp 14 15 1 i 1 1 1009.98 14.00 15.00 
BM2_336 0 2 2 110 5.605333e+02 Goldfish.bmp Riprolls.bmp 22 39 1 u 3 0 1015.22 22.00 39.00 
BM2_336 0 2 2 111 5.635333e+02 PayDay.bmp Slimjim.bmp 20 42 1 u 4 0 887.74 20.00 42.00 
BM2_336 0 2 2 112 5.705333e+02 CheesyDoritos.bmp Goldfish.bmp 43 22 0 x 3 999 999000.00 43.00 22.00 
BM2_336 0 2 2 113 5.745333e+02 Sourpatch.bmp PeanutMMs.bmp 13 12 1 i 1 1 788.64 13.00 12.00 
BM2_336 0 2 2 114 5.835333e+02 Keeblerfudgestripes.bmp Almondjoy.bmp 14 11 1 i 1 1 938.98 14.00 11.00 
BM2_336 0 2 2 115 5.875333e+02 Fritos.bmp Funyuns_small.bmp 46 47 0 u 2 1 615.35 46.00 47.00 
BM2_336 0 2 2 116 6.015333e+02 Milano.bmp Snickers.bmp 9 8 1 i 1 1 864.93 9.00 8.00 
BM2_336 0 2 2 117 6.045333e+02 Streusel.bmp SourSkittles.bmp 38 16 0 i 4 0 813.69 38.00 16.00 
BM2_336 0 2 2 118 6.075333e+02 Doritosranch.bmp SourSkittles.bmp 45 16 0 i 4 0 759.53 45.00 16.00 
BM2_336 0 2 2 119 6.105333e+02 Laysclassic.bmp SourSkittles.bmp 41 16 0 i 4 0 607.04 41.00 16.00 
BM2_336 0 2 2 120 6.135333e+02 Nutterbutter.bmp Goldfish.bmp 40 22 0 i 3 0 739.92 40.00 22.00 
BM2_336 0 2 2 121 6.165333e+02 PringlesRed.bmp 100grand_small.bmp 44 17 0 i 3 0 569.43 44.00 17.00 
BM2_336 0 2 2 122 6.195333e+02 Streusel.bmp Skittles.bmp 38 19 0 i 4 0 870.13 38.00 19.00 
BM2_336 0 2 2 123 6.255333e+02 3Musketeers.bmp Riprolls.bmp 18 39 1 u 3 0 1119.26 18.00 39.00 
BM2_336 0 2 2 124 6.105333e+02 Hersheymilk_several.bmp Funyuns_small.bmp 53 47 0 x 2 999 999000.00 53.00 47.00 
BM2_336 0 2 2 125 6.135333e+02 PopTartsCinnamon.bmp Riprolls.bmp 21 39 1 x 3 999 999000.00 21.00 39.00 
BM2_336 0 2 2 126 6.165333e+02 Almondjoy.bmp Sourpatch.bmp 11 13 0 x 1 999 999000.00 11.00 13.00 
BM2_336 0 2 2 127 6.195333e+02 PringlesRed.bmp PopTartsCinnamon.bmp 44 21 0 x 3 999 999000.00 44.00 21.00 
BM2_336 0 2 2 128 6.255333e+02 Funyuns_small.bmp Jollyrancherred.bmp 47 49 1 x 2 999 999000.00 47.00 49.00 
